form	lemma	POS	morph
A	à	PRE	MORPH=empty
MONSEIGNEUR	monseigneur	NOMcom	NOMB.=s|GENRE=m
Mᵍⁿᵉᵘʳ	monseigneur	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
COLBERT	Colbert	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
CHEVALIER	chevalier	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
BARON	baron	NOMcom	NOMB.=s|GENRE=m
DE	de	PRE	MORPH=empty
SEIGNELAY	Seignelay	NOMpro	NOMB.=s|GENRE=x
,	,	PONfbl	MORPH=empty
CONSEILLER	conseiller	NOMcom	NOMB.=s|GENRE=m
ORDINAIRE	ordinaire	ADJqua	NOMB.=s|GENRE=m
DU	de_le	PRE.DETdef	NOMB.=s|GENRE=m
ROY	roi	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
MINISTRE	ministre	NOMcom	NOMB.=s|GENRE=m
D'	de	PRE	MORPH=empty
ESTAT	état	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
SURINTENDANT	surintendant	NOMcom	NOMB.=s|GENRE=m
DES	de_le	PRE.DETdef	NOMB.=p|GENRE=f
MAISONS	maison	NOMcom	NOMB.=p|GENRE=f
ROYALES	royal	ADJqua	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
INTENDANT	intendant	NOMcom	NOMB.=s|GENRE=m
GENERAL	général	ADJqua	NOMB.=s|GENRE=m
DES	de_le	PRE.DETdef	NOMB.=p|GENRE=f
FINANCES	finance	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
ET	et	CONcoo	MORPH=empty
DU	de_le	PRE.DETdef	NOMB.=s|GENRE=m
COMMERCE	commerce	NOMcom	NOMB.=s|GENRE=m
DE	de	PRE	NOMB.=s|GENRE=f
FRANCE	France	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&c	etc.	CONcoo	MORPH=empty
.	.	PONpxx	MORPH=empty
MONSEIGNEUR	monseigneur	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Puis	puis	ADVgen	MORPH=empty
-	-	PONfbl	MORPH=empty
que	que	CONsub	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
faites	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=f
proſperités	prospérité	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
Siecle	siècle	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
toutes	tout	DETind	NOMB.=p|GENRE=f
vos	votre	DETpos	PERS.=2|NOMB.=p|GENRE=f
occupations	occupation	NOMcom	NOMB.=p|GENRE=f
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
un	un	DETndf	NOMB.=s|GENRE=m
Bien	bien	NOMpro	NOMB.=s|GENRE=m
Public	public	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=x|CAS=n
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
juſte	juste	ADJqua	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
monde	monde	NOMcom	NOMB.=s|GENRE=m
les	il	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=r
reſſente	ressentir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
toutes	tout	DETind	NOMB.=p|GENRE=f
les	le	DETdef	NOMB.=p|GENRE=f
Mers	mer	NOMpro	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
voire	voire	ADVgen	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
plus	plus	ADVgen	MORPH=empty
éloignées	éloigner	VERppe	NOMB.=p|GENRE=f
s’	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
