form	lemma	POS	morph
ESTIENNE	Étienne	NOMpro	NOMB.=s|GENRE=m
DOLET	Dolet	NOMpro	NOMB.=s|GENRE=x
,	,	PONfbl	MORPH=empty
A	à	PRE	MORPH=empty
MON	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
SEIGNEVR	seigneur	NOMcom	NOMB.=s|GENRE=m
DE	de	PRE	NOMB.=s
LANGEI	Langei	NOMpro	NOMB.=s|GENRE=x
,	,	PONfbl	MORPH=empty
Humble	humble	ADJqua	NOMB.=s|GENRE=m
salut	salut	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
recognoissance	reconnaissance	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
liberalité	libéralité	NOMcom	NOMB.=s|GENRE=f
enuers	envers	PRE	MORPH=empty
luy	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
.	.	PONfrt	MORPH=empty
IE	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
n'	ne	ADVneg	MORPH=empty
ignore	ignorer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
pas	pas	ADVneg	MORPH=empty
(	(	PONpga	MORPH=empty
seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
par	par	PRE	MORPH=empty
gloire	gloire	NOMcom	NOMB.=s|GENRE=f
immortel	immortel	ADJqua	NOMB.=s|GENRE=m
)	)	PONpdr	MORPH=empty
que	que	CONsub	MORPH=empty
plusieurs	plusieurs	PROind	NOMB.=p|GENRE=x
ne	ne	ADVneg	MORPH=empty
s'	il	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=r
esbaissent	esbaisser	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
grandement	grandement	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
veoir	voir	VERinf	MORPH=empty
sortir	sortir	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
ce	ce	DETdem	NOMB.=s|GENRE=m
present	présent	ADJqua	NOMB.=s|GENRE=m
Oeuure	œuvre	NOMpro	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
attendu	attendre	VERppe	NOMB.=s|GENRE=n
que	que	CONsub	MORPH=empty
par	par	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
passé	passé	NOMcom	NOMB.=s|GENRE=m
i'	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
faict	faire	VERppe	NOMB.=s|GENRE=x
et	et	CONcoo	MORPH=empty
fais	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
encores	encore	ADVgen	MORPH=empty
maintenant	maintenant	ADVgen	MORPH=empty
profession	profession	NOMcom	NOMB.=s|GENRE=f
