form	lemma	POS	morph
Cy	ci	ADVgen	MORPH=empty
commence	commencer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Boece	Boèce	NOMpro	NOMB.=s|GENRE=m
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
premier	premier	ADJord	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
ꝑ	par	PRE	MORPH=empty
maniere	manière	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
dyalogue	dialogue	NOMcom	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
metres	mètre	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
en	en	PRE	MORPH=empty
proses	prose	NOMcom	NOMB.=p|GENRE=f
compile	compiler	VERppe	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
translate	translater	VERppe	NOMB.=s|GENRE=m
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
consolation	consolation	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
desolez	désolé	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
retractation	rétractation	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
ceulx	celui	PROdem	NOMB.=p|GENRE=x
qui	qui	PROrel	NOMB.=p|GENRE=x
trop	trop	ADVgen	MORPH=empty
se	se	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=r
adherdent	adhérer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
empeschent	empêcher	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
biens	bien	NOMcom	NOMB.=p|GENRE=m
temporelz	temporel	ADJqua	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
en	en	PRE	MORPH=empty
cestui	cist	DETdem	NOMB.=s|GENRE=m
premier	premier	ADJord	NOMB.=s|GENRE=m
metre	mètre	NOMcom	NOMB.=s|GENRE=m
parle	parler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
boece	Boèce	NOMpro	NOMB.=s|GENRE=m
cõme	comme	CONsub	MORPH=empty
homme	homme	NOMcom	NOMB.=s|GENRE=m
dolent	douloir	VERppa	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
fort	fort	ADVgen	MORPH=empty
desole	désoler	VERppe	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Carmina	@latin	OUT	MORPH=empty
qui	@latin	OUT	MORPH=empty
quondam	@latin	OUT	MORPH=empty
studio	@latin	OUT	MORPH=empty
florente	@latin	OUT	MORPH=empty
per	@latin	OUT	MORPH=empty
egi	@latin	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
Flebilis	@latin	OUT	MORPH=empty
heu	@latin	OUT	MORPH=empty
mestos	@latin	OUT	MORPH=empty
cogor	@latin	OUT	MORPH=empty
inire	@latin	OUT	MORPH=empty
modos	@latin	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
et	@latin	OUT	MORPH=empty
cet̾	@latin	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
Texte	texte	NOMcom	NOMB.=s|GENRE=m
De	de	PRE	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=x
iadis	jadis	ADVgen	MORPH=empty
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=x
dicties	dité	NOMcom	NOMB.=p|GENRE=m
ioyeux	joyeux	ADJqua	NOMB.=p|GENRE=m
Par	par	PRE	MORPH=empty
